AirVelocity_AirTemperature,Humidity,Clo,HeartRate,SkinTemperature,PMV
"(0.33256157028512917, 20.40866986306133)",59.607470853217336,0.7783448809060868,81.87012508096284,33.82090217224161,0.0
"(0.3467425937865196, 21.591969300382043)",20.0,1.0843533210961886,71.70871588384654,33.491096587565586,0.0
"(0.13528621776515778, 22.57129111125425)",20.0,0.9053557432391386,68.35105243330136,33.45523592964513,-0.01
"(0.3672199849286564, 22.559863135868092)",45.089055941535975,0.7302124325456512,76.08400226704477,32.45825349752794,0.01
"(0.3977494502709171, 22.764942403138125)",20.0,0.5069442691432082,86.98004096536665,33.75477710775892,-0.0
"(0.5629526449636721, 24.304630911186727)",20.0,0.5,81.80419072272187,32.529547778421716,-0.0
"(0.8683485316215107, 27.33746604809193)",20.37590963413271,1.196825891325512,54.700145739374705,34.13266712782046,-0.01
"(0.07556278839104125, 19.706624395497478)",50.16534435708768,1.0457858525097348,71.00352594383352,31.40673610914758,0.0
"(0.5774876181810733, 20.870059035439443)",21.47784283627448,0.9913355401784646,79.21174954012326,34.78711339693717,0.0
"(0.2815527291695063, 22.588848829319353)",36.409109298176446,0.5711641946265464,80.94145034958078,33.536319131896526,0.0
"(0.24160472434399557, 22.41311115193609)",68.83209919684684,0.5,80.53692246452378,35.10081521729394,0.01
"(0.9722622089962325, 23.09031003195624)",21.79848899881607,0.8573166780107582,76.64247025444153,33.08330646561079,0.0
"(0.9585204357967374, 25.593750061812734)",20.0,0.6500092991542934,72.22723439035668,34.02434495796267,0.0
"(0.4484656503784328, 20.291826526570006)",20.0,0.9159571691275769,82.65019598289766,33.93510873911462,-0.01
"(0.536312330467564, 23.560064868217996)",20.0,0.5,85.19958889649972,33.454124274990285,-0.01
"(0.7748138498368875, 23.36661695575752)",20.0,1.0134151275780654,69.87181328343414,33.184509292382515,-0.0
"(0.5960911311467328, 23.067563844285058)",22.30425793981457,0.93326172755607,72.07293184219583,32.63649623476412,-0.0
"(0.48188427194599365, 21.863024066916985)",27.551278687682107,1.0240285937326539,73.06682817713688,33.47579568927133,0.01
"(1.0, 22.159944722652646)",20.0,0.9068130414182066,79.28377185754023,32.718614895626246,-0.0
"(0.2127868114594388, 18.181767477086332)",55.59032993225463,0.7154192314090934,91.36897421797002,32.05528608747989,0.01
"(0.396594256011354, 22.189060066253322)",43.41589986531874,0.6395682366159301,81.96321736806192,31.924908918200394,0.01
"(0.13866332784775687, 22.027176065105955)",27.6897736473357,0.6271642152021344,77.56734956822618,32.77042935667454,-0.01
