Time,Outdoor_Temp,RH,Heart_Rate,Skin_Temp,Indoor_Temp,AC_Setpoint,Air_Velocity,PMV
2023-01-01 00:00:00,31.5,50.0,56.699287926944386,34.413535328316364,26.99,26,0.1,0.6113535328316363
2023-01-01 00:15:00,31.598104693845215,50.65403129230143,66.05061109745944,34.67170805764754,23.364458844892145,26,0.1,-0.44282919423524575
2023-01-01 00:30:00,31.695789288330076,51.305261922200515,67.36534184987998,34.44923368825212,36.72403352269632,26,0.1,3.284923368825212
2023-01-01 00:45:00,31.792635483024192,51.95090322016128,61.3356267053401,34.56888526009826,-12.421768976578093,26,0.1,
2023-01-01 01:00:00,31.88822856765378,52.588190451025206,65.75180662439824,34.70539637215424,168.45199097598504,26,0.1,
2023-01-01 01:15:00,31.982159197954743,53.21439465303162,67.11534323619816,34.298054630664,-488.14653813599307,28,0.1,-255.04346360493014
2023-01-01 01:30:00,32.07402514854763,53.8268343236509,71.1642532683852,34.568915207315385,1892.1525848671931,20,0.1,935.133183954328
2023-01-01 01:45:00,32.1634330353285,54.422886902190015,68.44615831610334,34.67301429546934,-6831.332094364912,28,0.1,-3426.598745752909
2023-01-01 02:00:00,32.25,55.0,69.1578197407583,34.69347778253673,25271.10710726288,28,0.1,
2023-01-01 02:15:00,32.333355349529405,55.55570233019602,67.78482437599096,34.420398482990656,-92865.85415076447,28,0.1,
2023-01-01 02:30:00,32.41314214351308,56.0876142900872,79.69356025589363,34.877284978317924,341878.1776403991,28,0.1,
2023-01-01 02:45:00,32.4890187226501,56.59345815100069,76.6776554809442,34.99784574119227,-1257979.8456932986,28,0.1,
2023-01-01 03:00:00,32.56066017177982,57.071067811865476,81.09481845159969,35.21193774910917,4629497.6930701705,28,0.1,
2023-01-01 03:15:00,32.62775971121847,57.51839807478977,74.78528175891432,34.907249832580206,-17036419.637501482,28,0.1,
2023-01-01 03:30:00,32.69003001043685,57.93353340291235,77.20701769688444,34.90540720688849,62694156.15021087,28,0.1,
2023-01-01 03:45:00,32.74720441845382,58.31469612302545,73.8216961112463,34.65555737122224,-230714362.73827928,28,0.1,
2023-01-01 04:00:00,32.79903810567666,58.66025403784438,72.13510303373683,35.070412947851096,849028986.7806947,28,0.1,
2023-01-01 04:15:00,32.845309112299034,58.96872741532688,72.02363301527271,34.80293803734318,-3124426539.4408007,28,0.1,
2023-01-01 04:30:00,32.88581929876693,59.23879532511287,74.62728086855137,34.44600125647184,11497889797.061596,28,0.1,
2023-01-01 04:45:00,32.92039519424266,59.46930129495105,70.85333125272854,35.31120757644868,-42312234321.261,28,0.1,
2023-01-01 05:00:00,32.9488887394336,59.65925826289068,78.50660717100608,34.966380212039354,155709022434.17126,28,0.1,
2023-01-01 05:15:00,32.971177920604845,59.80785280403231,81.96907394450986,34.96367042233965,-573009202425.8153,28,0.1,
2023-01-01 05:30:00,32.98716729206072,59.9144486137381,85.44164245279568,35.36990281838762,2108673865058.9375,28,0.1,
2023-01-01 05:45:00,32.99678838485791,59.978589232386035,87.00322248333954,34.87042534940806,-7759919823284.951,28,0.1,
2023-01-01 06:00:00,33.0,60.0,82.16274107768736,35.05429429603378,28556504949820.562,28,0.1,
2023-01-01 06:15:00,32.99678838485791,59.978589232386035,85.83527453757121,35.04724694630247,-105087938215207.72,28,0.1,
2023-01-01 06:30:00,32.98716729206072,59.9144486137381,88.60033685728949,34.86100431056159,386723612632096.4,28,0.1,
